Nom,Prenom,Email,Niveau,Filiere
Hernandez,Thibaut,thibaut.hernandez@etu.universite.fr,L2,Mathématiques
Leduc,Georges,georges.leduc@etu.universite.fr,M1,Biologie
Brun,Célina,célina.brun@etu.universite.fr,L3,Biologie
Leclercq,Isaac,isaac.leclercq@etu.universite.fr,L1,Mathématiques
Gauthier,Aimée,aimée.gauthier@etu.universite.fr,L3,Biologie
Duval,Claude,claude.duval@etu.universite.fr,L2,Physique
Meyer,Richard,richard.meyer@etu.universite.fr,L2,Informatique
Morel,François,françois.morel@etu.universite.fr,M2,Informatique
Perez,Joséphine,joséphine.perez@etu.universite.fr,M2,Mathématiques
Ramos,Roland,roland.ramos@etu.universite.fr,M2,Informatique
Bonneau,Édith,édith.bonneau@etu.universite.fr,L1,Informatique
Ruiz,Denise,denise.ruiz@etu.universite.fr,M2,Biologie
Michel,Jean,jean.michel@etu.universite.fr,L1,Biologie
Diallo,Danielle,danielle.diallo@etu.universite.fr,M2,Physique
Gilbert,Margaux,margaux.gilbert@etu.universite.fr,L1,Biologie
Peron,Christiane,christiane.peron@etu.universite.fr,L2,Mathématiques
Lemaire,Lucie,lucie.lemaire@etu.universite.fr,M1,Physique
Cousin,Édouard,édouard.cousin@etu.universite.fr,L1,Mathématiques
Gimenez,Matthieu,matthieu.gimenez@etu.universite.fr,L3,Biologie
Boulay,Aimé,aimé.boulay@etu.universite.fr,M2,Mathématiques
Germain,Michel,michel.germain@etu.universite.fr,M2,Physique
Pires,Lucy,lucy.pires@etu.universite.fr,M2,Physique
Vallée,Nathalie,nathalie.vallée@etu.universite.fr,L3,Informatique
Gauthier,Pierre,pierre.gauthier@etu.universite.fr,L3,Informatique
Fleury,Patrick,patrick.fleury@etu.universite.fr,M2,Biologie
Loiseau,Laurent,laurent.loiseau@etu.universite.fr,M1,Mathématiques
Garcia,Pierre,pierre.garcia@etu.universite.fr,L3,Mathématiques
Tessier,William,william.tessier@etu.universite.fr,L2,Physique
Aubert,Philippe,philippe.aubert@etu.universite.fr,L1,Informatique
