Nom,Prenom,Email,Specialite,Departement
Gauthier,Pénélope,pénélope.gauthier@universite.fr,Réseaux,Département Info
Mary,Geneviève,geneviève.mary@universite.fr,Algèbre,Département Info
Duval,Clémence,clémence.duval@universite.fr,Réseaux,Département Math
Leduc,Xavier,xavier.leduc@universite.fr,Algorithmique,Département Math
Vincent,Bertrand,bertrand.vincent@universite.fr,Réseaux,Département Info
Marchand,Augustin,augustin.marchand@universite.fr,Réseaux,Département Info
Cordier,Émile,émile.cordier@universite.fr,Algèbre,Département Phys
Lévêque,Aimé,aimé.lévêque@universite.fr,Mécanique quantique,Département Info
Blot,Andrée,andrée.blot@universite.fr,Bases de données,Département Phys
Fournier,Bertrand,bertrand.fournier@universite.fr,Bases de données,Département Phys
Alexandre,Danielle,danielle.alexandre@universite.fr,IA,Département Phys
Ferreira,Martin,martin.ferreira@universite.fr,Bases de données,Département Info
Cousin,Arnaude,arnaude.cousin@universite.fr,IA,Département Info
Gaudin,Benjamin,benjamin.gaudin@universite.fr,Algorithmique,Département Math
Collin,Julien,julien.collin@universite.fr,Mécanique quantique,Département Math
Pichon,Frédéric,frédéric.pichon@universite.fr,Algèbre,Département Math
Descamps,Noël,noël.descamps@universite.fr,Bases de données,Département Info
Fernandes,Anouk,anouk.fernandes@universite.fr,Bases de données,Département Phys
Renaud,Thomas,thomas.renaud@universite.fr,Algèbre,Département Info
Bailly,Emmanuelle,emmanuelle.bailly@universite.fr,Réseaux,Département Math
Munoz,Michelle,michelle.munoz@universite.fr,Algèbre,Département Info
Blanchard,François,françois.blanchard@universite.fr,Bases de données,Département Math
Thibault,Jérôme,jérôme.thibault@universite.fr,Mécanique quantique,Département Phys
Lecoq,Maggie,maggie.lecoq@universite.fr,Algèbre,Département Math
Fouquet,Valérie,valérie.fouquet@universite.fr,Bases de données,Département Info
Buisson,Jacqueline,jacqueline.buisson@universite.fr,Algorithmique,Département Info
Gauthier,Lorraine,lorraine.gauthier@universite.fr,Bases de données,Département Info
Chrétien,Susanne,susanne.chrétien@universite.fr,Algèbre,Département Info
Maréchal,Christine,christine.maréchal@universite.fr,Réseaux,Département Math
Peltier,Brigitte,brigitte.peltier@universite.fr,Mécanique quantique,Département Info
Vallée,Christophe,christophe.vallée@universite.fr,Algorithmique,Département Info
Millet,Denise,denise.millet@universite.fr,Algorithmique,Département Info
Clément,Émilie,émilie.clément@universite.fr,Mécanique quantique,Département Info
Rocher,Aimé,aimé.rocher@universite.fr,Mécanique quantique,Département Info
Michaud,Guillaume,guillaume.michaud@universite.fr,Algèbre,Département Math
