ID_Reservation,Professeur,Matiere,Salle,Date,Heure_Debut,Heure_Fin,Statut
1,Collin Julien,Chimie,E124,2026-03-05,12:00,13:30,confirmee
2,Bailly Emmanuelle,Histoire,C031,2026-04-16,10:00,11:30,confirmee
3,Fernandes Anouk,Info,C484,2026-03-05,13:00,14:30,confirmee
4,Marchand Augustin,Physique,E124,2026-05-28,16:00,17:30,confirmee
5,Renaud Thomas,Info,C832,2026-03-17,16:00,17:30,confirmee
6,Lecoq Maggie,Info,E415,2026-05-10,11:00,12:30,confirmee
7,Vincent Bertrand,Maths,B403,2026-03-12,10:00,11:30,confirmee
8,Vallée Christophe,Info,B436,2026-05-07,11:00,12:30,confirmee
9,Cousin Arnaude,Chimie,C832,2026-03-28,09:00,10:30,confirmee
10,Fouquet Valérie,Chimie,C843,2026-04-26,13:00,14:30,confirmee
11,Cousin Arnaude,Physique,A181,2026-04-29,09:00,10:30,confirmee
12,Buisson Jacqueline,Info,A181,2026-05-12,09:00,10:30,confirmee
13,Bailly Emmanuelle,Maths,B218,2026-03-14,15:00,16:30,en_attente
14,Pichon Frédéric,Physique,E124,2026-03-17,12:00,13:30,confirmee
15,Renaud Thomas,Histoire,B403,2026-04-12,15:00,16:30,confirmee
16,Vallée Christophe,Chimie,C298,2026-05-20,14:00,15:30,confirmee
17,Maréchal Christine,Chimie,E415,2026-05-03,16:00,17:30,confirmee
18,Buisson Jacqueline,Histoire,E415,2026-05-24,10:00,11:30,en_attente
19,Chrétien Susanne,Maths,B949,2026-03-14,16:00,17:30,confirmee
20,Duval Clémence,Maths,C484,2026-03-16,11:00,12:30,confirmee
21,Peltier Brigitte,Chimie,C298,2026-05-19,11:00,12:30,confirmee
22,Rocher Aimé,Physique,A548,2026-04-10,16:00,17:30,confirmee
23,Cordier Émile,Histoire,A181,2026-04-05,11:00,12:30,confirmee
24,Gauthier Pénélope,Info,B949,2026-05-26,08:00,09:30,confirmee
